"perm","id_1","id_2","name_1","name_2","lat_id_1","lon_id_1","lat_id_2","lon_id_2","distance"
way/701209222way/601388078,way/701209222,way/601388078,Stewart Field,Railroad Playground,40.7319938,-73.6159393,40.6494403,-73.9143004,34297.7
way/701209222way/496524239,way/701209222,way/496524239,Stewart Field,Halsey Pond Park,40.7319938,-73.6159393,41.0283515,-73.8587462,66141.3
way/701209222way/187680299,way/701209222,way/187680299,Stewart Field,Olmezer Park,40.7319938,-73.6159393,40.5504805,-74.3665681,102568
way/701209222way/469203131,way/701209222,way/469203131,Stewart Field,Joseph F. Mafera Park,40.7319938,-73.6159393,40.7070248,-73.8912414,35107.5
way/701209222way/334803989,way/701209222,way/334803989,Stewart Field,Civil War Monument Park,40.7319938,-73.6159393,40.9973838,-73.6682347,58529.3
way/701209222way/639082317,way/701209222,way/639082317,Stewart Field,Huddy Park,40.7319938,-73.6159393,40.4048161,-73.9942834,131733.5
way/701209222way/1180028681,way/701209222,way/1180028681,Stewart Field,Veterans Memorial Park,40.7319938,-73.6159393,40.8964486,-73.9731078,50134.1
way/701209222way/225189513,way/701209222,way/225189513,Stewart Field,Poor Richard's Playground,40.7319938,-73.6159393,40.7926185,-73.9426331,44611.8
way/701209222way/676105729,way/701209222,way/676105729,Stewart Field,,40.7319938,-73.6159393,40.7541286,-73.8249625,26739.1
way/701209222node/357637130,way/701209222,node/357637130,Stewart Field,Georgia Avenue Garden,40.7319938,-73.6159393,40.6611111,-73.8941667,31702.6
way/701209222node/357610721,way/701209222,node/357610721,Stewart Field,Veteran's Memorial Park,40.7319938,-73.6159393,41.0408397,-73.9819517,71987.6
way/701209222way/607557302,way/701209222,way/607557302,Stewart Field,,40.7319938,-73.6159393,40.6597213,-74.2520383,85819.8
way/701209222way/445852457,way/701209222,way/445852457,Stewart Field,Stein Field,40.7319938,-73.6159393,40.5969947,-74.2929807,92654.8
way/701209222relation/17283039,way/701209222,relation/17283039,Stewart Field,Nassau Mall,40.7319938,-73.6159393,40.7647537,-73.7250832,16369.3
way/701209222way/409831746,way/701209222,way/409831746,Stewart Field,Calvert Field,40.7319938,-73.6159393,40.8326797,-73.4920356,22364.7
way/701209222way/981858308,way/701209222,way/981858308,Stewart Field,,40.7319938,-73.6159393,40.7816228,-73.6743688,10276.9
way/701209222way/916885477,way/701209222,way/916885477,Stewart Field,,40.7319938,-73.6159393,40.840043,-73.7074015,20352.4
way/701209222way/367482920,way/701209222,way/367482920,Stewart Field,Sergeant Collins Triangle,40.7319938,-73.6159393,40.751779,-73.902945,33796.5
way/701209222way/755070460,way/701209222,way/755070460,Stewart Field,Nature Study Woods,40.7319938,-73.6159393,40.9356728,-73.8025819,48293
way/601388078way/701209222,way/601388078,way/701209222,Railroad Playground,Stewart Field,40.6494403,-73.9143004,40.7319938,-73.6159393,33929.6
way/601388078way/496524239,way/601388078,way/496524239,Railroad Playground,Halsey Pond Park,40.6494403,-73.9143004,41.0283515,-73.8587462,64751.5
way/601388078way/187680299,way/601388078,way/187680299,Railroad Playground,Olmezer Park,40.6494403,-73.9143004,40.5504805,-74.3665681,56804.1
way/601388078way/469203131,way/601388078,way/469203131,Railroad Playground,Joseph F. Mafera Park,40.6494403,-73.9143004,40.7070248,-73.8912414,9775.4
way/601388078way/334803989,way/601388078,way/334803989,Railroad Playground,Civil War Monument Park,40.6494403,-73.9143004,40.9973838,-73.6682347,58472.4
way/601388078way/639082317,way/601388078,way/639082317,Railroad Playground,Huddy Park,40.6494403,-73.9143004,40.4048161,-73.9942834,83316.8
way/601388078way/1180028681,way/601388078,way/1180028681,Railroad Playground,Veterans Memorial Park,40.6494403,-73.9143004,40.8964486,-73.9731078,48744.4
way/601388078way/225189513,way/601388078,way/225189513,Railroad Playground,Poor Richard's Playground,40.6494403,-73.9143004,40.7926185,-73.9426331,38641.5
way/601388078way/676105729,way/601388078,way/676105729,Railroad Playground,,40.6494403,-73.9143004,40.7541286,-73.8249625,24962.3
way/601388078node/357637130,way/601388078,node/357637130,Railroad Playground,Georgia Avenue Garden,40.6494403,-73.9143004,40.6611111,-73.8941667,3292.2
way/601388078node/357610721,way/601388078,node/357610721,Railroad Playground,Veteran's Memorial Park,40.6494403,-73.9143004,41.0408397,-73.9819517,70597.8
way/601388078way/607557302,way/601388078,way/607557302,Railroad Playground,,40.6494403,-73.9143004,40.6597213,-74.2520383,37669.9
way/601388078way/445852457,way/601388078,way/445852457,Railroad Playground,Stein Field,40.6494403,-73.9143004,40.5969947,-74.2929807,44323.9
way/601388078relation/17283039,way/601388078,relation/17283039,Railroad Playground,Nassau Mall,40.6494403,-73.9143004,40.7647537,-73.7250832,31441.9
way/601388078way/409831746,way/601388078,way/409831746,Railroad Playground,Calvert Field,40.6494403,-73.9143004,40.8326797,-73.4920356,58380.8
way/601388078way/981858308,way/601388078,way/981858308,Railroad Playground,,40.6494403,-73.9143004,40.7816228,-73.6743688,37006
way/601388078way/916885477,way/601388078,way/916885477,Railroad Playground,,40.6494403,-73.9143004,40.840043,-73.7074015,42853.5
way/601388078way/367482920,way/601388078,way/367482920,Railroad Playground,Sergeant Collins Triangle,40.6494403,-73.9143004,40.751779,-73.902945,29268.4
way/601388078way/755070460,way/601388078,way/755070460,Railroad Playground,Nature Study Woods,40.6494403,-73.9143004,40.9356728,-73.8025819,48236.1
way/496524239way/701209222,way/496524239,way/701209222,Halsey Pond Park,Stewart Field,41.0283515,-73.8587462,40.7319938,-73.6159393,65183.4
way/496524239way/601388078,way/496524239,way/601388078,Halsey Pond Park,Railroad Playground,41.0283515,-73.8587462,40.6494403,-73.9143004,64502.9
way/496524239way/187680299,way/496524239,way/187680299,Halsey Pond Park,Olmezer Park,41.0283515,-73.8587462,40.5504805,-74.3665681,88004.5
way/496524239way/469203131,way/496524239,way/469203131,Halsey Pond Park,Joseph F. Mafera Park,41.0283515,-73.8587462,40.7070248,-73.8912414,44610.8
